60	872	-1.0
793	412	-1.0
263	196	-1.0
628	412	-1.0
686	141	-1.0
124	357	-1.0
859	530	-1.0
274	431	-1.0
857	65	-1.0
191	501	-1.0
583	651	-1.0
349	316	-1.0
309	214	-1.0
818	756	-1.0
611	358	-1.0
36	328	-1.0
633	355	-1.0
111	484	-1.0
319	376	-1.0
12	549	-1.0
413	686	-1.0
924	822	-1.0
29	165	-1.0
545	400	-1.0
519	373	-1.0
542	238	-1.0
769	731	-1.0
909	42	-1.0
400	14	-1.0
738	725	-1.0
906	787	-1.0
126	160	-1.0
467	163	-1.0
876	574	-1.0
808	405	-1.0
891	489	-1.0
619	571	-1.0
171	310	-1.0
858	518	-1.0
368	51	-1.0
674	720	-1.0
748	240	-1.0
469	794	-1.0
573	238	-1.0
512	259	-1.0
320	284	-1.0
255	539	-1.0
410	213	-1.0
926	80	-1.0
140	661	-1.0
810	560	-1.0
681	728	-1.0
589	518	-1.0
766	832	-1.0
230	302	-1.0
640	761	-1.0
418	66	-1.0
753	501	-1.0
616	882	-1.0
516	132	-1.0
800	440	-1.0
403	383	-1.0
38	80	-1.0
275	672	-1.0
257	340	-1.0
515	403	-1.0
175	202	-1.0
325	400	-1.0
396	220	-1.0
394	783	-1.0
591	434	-1.0
910	418	-1.0
779	140	-1.0
376	29	-1.0
840	300	-1.0
614	183	-1.0
925	382	-1.0
340	203	-1.0
23	284	-1.0
440	633	-1.0
444	744	-1.0
827	491	-1.0
9	204	-1.0
233	845	-1.0
251	86	-1.0
656	355	-1.0
359	760	-1.0
820	269	-1.0
770	700	-1.0
473	309	-1.0
787	65	-1.0
322	614	-1.0
613	832	-1.0
801	438	-1.0
799	631	-1.0
904	51	-1.0
313	282	-1.0
80	111	-1.0
795	78	-1.0
556	700	-1.0
775	23	-1.0
931	19	-1.0
88	128	-1.0
68	340	-1.0
759	132	-1.0
690	628	-1.0
402	369	-1.0
245	214	-1.0
520	705	-1.0
874	434	-1.0
895	281	-1.0
232	260	-1.0
685	170	-1.0
35	52	-1.0
20	822	-1.0
641	134	-1.0
861	211	-1.0
73	837	-1.0
622	832	-1.0
742	40	-1.0
231	110	-1.0
87	300	-1.0
832	267	-1.0
108	281	-1.0
147	938	-1.0
17	461	-1.0
730	212	-1.0
651	221	-1.0
277	107	-1.0
574	357	-1.0
646	231	-1.0
785	36	-1.0
103	489	-1.0
784	277	-1.0
777	364	-1.0
436	247	-1.0
922	39	-1.0
424	369	-1.0
411	819	-1.0
763	369	-1.0
829	712	-1.0
120	427	-1.0
678	670	-1.0
843	170	-1.0
439	36	-1.0
645	672	-1.0
432	180	-1.0
247	123	-1.0
797	317	-1.0
817	322	-1.0
122	196	-1.0
689	691	-1.0
568	108	-1.0
599	19	-1.0
238	47	-1.0
794	129	-1.0
920	203	-1.0
812	879	-1.0
837	364	-1.0
916	651	-1.0
741	172	-1.0
389	300	-1.0
637	686	-1.0
882	133	-1.0
192	310	-1.0
898	599	-1.0
586	204	-1.0
581	888	-1.0
914	924	-1.0
652	865	-1.0
513	737	-1.0
405	166	-1.0
679	672	-1.0
940	172	-1.0
571	55	-1.0
141	600	-1.0
525	260	-1.0
606	309	-1.0
37	491	-1.0
468	408	-1.0
718	133	-1.0
714	240	-1.0
630	86	-1.0
176	481	-1.0
292	39	-1.0
273	317	-1.0
278	737	-1.0
636	512	-1.0
244	364	-1.0
550	306	-1.0
496	672	-1.0
419	372	-1.0
594	196	-1.0
547	928	-1.0
834	670	-1.0
101	480	-1.0
918	834	-1.0
173	928	-1.0
367	351	-1.0
137	408	-1.0
819	267	-1.0
205	269	-1.0
863	160	-1.0
478	369	-1.0
133	65	-1.0
344	598	-1.0
928	112	-1.0
761	384	-1.0
687	196	-1.0
285	122	-1.0
196	114	-1.0
601	675	-1.0
348	383	-1.0
337	132	-1.0
79	300	-1.0
165	156	-1.0
75	641	-1.0
373	414	-1.0
420	598	-1.0
168	737	-1.0
900	300	-1.0
438	740	-1.0
731	635	-1.0
607	348	-1.0
89	372	-1.0
809	19	-1.0
86	196	-1.0
433	55	-1.0
667	113	-1.0
912	132	-1.0
712	4	-1.0
342	384	-1.0
139	372	-1.0
587	892	-1.0
941	73	-1.0
331	598	-1.0
91	585	-1.0
585	263	-1.0
575	277	-1.0
841	405	-1.0
215	720	-1.0
746	636	-1.0
590	307	-1.0
45	124	-1.0
671	260	-1.0
188	260	-1.0
443	185	-1.0
780	614	-1.0
241	503	-1.0
615	636	-1.0
555	212	-1.0
813	445	-1.0
148	185	-1.0
773	317	-1.0
833	242	-1.0
693	732	-1.0
339	170	-1.0
563	170	-1.0
143	764	-1.0
106	546	-1.0
752	879	-1.0
224	794	-1.0
572	638	-1.0
497	410	-1.0
852	578	-1.0
771	729	-1.0
765	647	-1.0
698	898	-1.0
333	155	-1.0
290	905	-1.0
289	183	-1.0
379	205	-1.0
360	729	-1.0
893	205	-1.0
135	27	-1.0
485	396	-1.0
71	40	-1.0
534	47	-1.0
824	420	-1.0
719	242	-1.0
28	635	-1.0
31	110	-1.0
544	108	-1.0
736	795	-1.0
423	575	-1.0
791	19	-1.0
127	675	-1.0
897	440	-1.0
193	124	-1.0
